predicted_tables,reference_tables,query,question,db_id
"SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",stadium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",Show location and name for all stadiums with a capacity between 5000 and 10000.,concert_singer
"SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",stadium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",What are the locations and names of all stations with capacity between 5000 and 10000?,concert_singer
"SELECT MAX(Capacity) as Max_Capacity, AVG(Average) as Average_Average FROM stadium",stadium,"select max(capacity), average from stadium",What is the maximum capacity and the average of all stadiums ?,concert_singer
"SELECT AVG(Capacity) as Average_Capacity, MAX(Capacity) as Maximum_Capacity FROM stadium",stadium,"select avg(capacity) ,  max(capacity) from stadium",What is the average and maximum capacities for all stadiums ?,concert_singer
"SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1",stadium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",What is the name and capacity for the stadium with highest average attendance?,concert_singer
"SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1",stadium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",What is the name and capacity for the stadium with the highest average attendance?,concert_singer
SELECT COUNT(*) FROM concert WHERE Year = '2014' OR Year = '2015',concert,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,How many concerts are there in year 2014 or 2015?,concert_singer
SELECT COUNT(*) FROM concert WHERE Year = '2014' OR Year = '2015',concert,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,How many concerts occurred in 2014 or 2015?,concert_singer
"SELECT s.Name, COUNT(c.concert_ID) as Number_of_Concerts FROM stadium s INNER JOIN concert c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Name","concert, stadium","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",Show the stadium name and the number of concerts in each stadium.,concert_singer
"SELECT s.Stadium_ID, s.Name, COUNT(c.concert_ID) as Number_of_Concerts FROM stadium s LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID, s.Name","concert, stadium","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","For each stadium, how many concerts play there?",concert_singer
"To answer this question, we need to join the `concert` and `stadium` tables on the `Stadium_ID` column. We will also filter the concerts to only include those that occurred in or after 2014. Then, we will group the results by stadium name and capacity and order them by the count of concerts in descending order. Here is the SQL query: ```sql SELECT s.Name, s.Capacity FROM stadium s JOIN concert c ON s.Stadium_ID = c.Stadium_ID WHERE c.Year >= 2014 GROUP BY s.Name, s.Capacity ORDER BY COUNT(c.concert_ID) DESC LIMIT 1","concert, stadium","SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",Show the stadium name and capacity with most number of concerts in year 2014 or after.,concert_singer
"SELECT s.Name, s.Capacity FROM stadium s INNER JOIN concert c ON s.Stadium_ID = c.Stadium_ID WHERE c.Year > '2013' ORDER BY COUNT(c.concert_ID) DESC LIMIT 1","concert, stadium","select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1",What is the name and capacity of the stadium with the most concerts after 2013 ?,concert_singer
"SELECT Year, COUNT(*) as Number_of_Concerts FROM concert GROUP BY Year ORDER BY Number_of_Concerts DESC LIMIT 1",concert,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,Which year has most number of concerts?,concert_singer
"SELECT Year, COUNT(*) as Total_Concerts FROM concert GROUP BY Year ORDER BY Total_Concerts DESC LIMIT 1",concert,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,What is the year that had the most concerts?,concert_singer
"Based on the given SQL tables, the question is referring to the `stadium` and `concert` tables. The `stadium` table has a column named `Name` which represents the name of the stadium. The `concert` table has a column named `Stadium_ID` which references the `Stadium_ID` in the `stadium` table. To answer the question, you can use the following SQL query: ```sql SELECT s.Name FROM stadium s LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID WHERE c.concert_ID IS NULL","stadium, concert",SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),Show the stadium names without any concert.,concert_singer
SELECT s.Name FROM stadium s LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID WHERE c.concert_ID IS NULL,"stadium, concert",SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),What are the names of the stadiums without any concerts?,concert_singer
"SELECT s1.Country, s2.Country FROM singer s1, singer s2 WHERE s1.Age > 40 AND s2.Age < 30",singer,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,Show countries where a singer above age 40 and a singer below 30 are from.,concert_singer
SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert WHERE Year = '2014'),"stadium, concert",SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,Show names for all stadiums except for stadiums having a concert in year 2014.,concert_singer
SELECT s.Name FROM stadium s WHERE s.Stadium_ID NOT IN ( SELECT c.Stadium_ID FROM concert c WHERE c.Year = '2014' ),"stadium, concert",SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,What are the names of all stadiums that did not have a concert in 2014?,concert_singer
"SELECT c.concert_Name, c.Theme, COUNT(sic.Singer_ID) as Number_of_singers FROM concert c JOIN singer_in_concert sic ON c.concert_ID = sic.concert_ID GROUP BY c.concert_Name, c.Theme","singer_in_concert, concert","SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",Show the name and theme for all concerts and the number of singers in each concert.,concert_singer
"SELECT c.concert_Name, c.Theme, COUNT(sic.Singer_ID) as Number_of_singers FROM concert c JOIN singer_in_concert sic ON c.concert_ID = sic.concert_ID GROUP BY c.concert_Name, c.Theme","singer_in_concert, concert","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","What are the names , themes , and number of singers for every concert ?",concert_singer
"SELECT s.Name, COUNT(sc.concert_ID) as Num_Concerts FROM singer s JOIN singer_in_concert sc ON s.Singer_ID = sc.Singer_ID GROUP BY s.Name","singer_in_concert, singer","SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",List singer names and number of concerts for each singer.,concert_singer
"SELECT s.Name, COUNT(sc.concert_ID) as Number_of_Concerts FROM singer s JOIN singer_in_concert sc ON s.Singer_ID = sc.Singer_ID GROUP BY s.Name","singer_in_concert, singer","SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",What are the names of the singers and number of concerts for each person?,concert_singer
SELECT s.Name FROM singer s JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID JOIN concert c ON sic.concert_ID = c.concert_ID WHERE c.Year = '2014',"singer_in_concert, singer, concert",SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,List all singer names in concerts in year 2014.,concert_singer
SELECT s.Name FROM singer s JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID JOIN concert c ON sic.concert_ID = c.concert_ID WHERE c.Year = '2014',"singer_in_concert, singer, concert",SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,What are the names of the singers who performed in a concert in 2014?,concert_singer
"SELECT s.Name, s.Country FROM singer s WHERE s.Song_Name LIKE '%Hey%'",singer,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",what is the name and nation of the singer who have a song having 'Hey' in its name?,concert_singer
"SELECT Name, Country FROM singer WHERE Song_Name LIKE '%Hey%'",singer,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,concert_singer
"SELECT s.Name, s.Location FROM stadium s WHERE s.Stadium_ID IN ( SELECT c.Stadium_ID FROM concert c WHERE c.Year IN ('2014', '2015') )","concert, stadium","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,concert_singer
"SELECT s.Name, s.Location FROM stadium s WHERE s.Stadium_ID IN ( SELECT c.Stadium_ID FROM concert c WHERE c.Year IN ('2014', '2015') GROUP BY c.Stadium_ID HAVING COUNT(DISTINCT c.Year) = 2 )","concert, stadium","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,concert_singer
SELECT COUNT(*) FROM concert WHERE Stadium_ID IN ( SELECT Stadium_ID FROM stadium ORDER BY Capacity DESC LIMIT 1 ),"concert, stadium",select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),Find the number of concerts happened in the stadium with the highest capacity .,concert_singer
SELECT COUNT(*) FROM concert WHERE Stadium_ID IN ( SELECT Stadium_ID FROM stadium ORDER BY Capacity DESC LIMIT 1 ),"concert, stadium",select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),What are the number of concerts that occurred in the stadium with the largest capacity ?,concert_singer
SELECT COUNT(*) FROM Pets WHERE weight > 10,pets,SELECT count(*) FROM pets WHERE weight  >  10,Find the number of pets whose weight is heavier than 10.,pets_1
SELECT COUNT(*) FROM Pets WHERE weight > 10,pets,SELECT count(*) FROM pets WHERE weight  >  10,How many pets have a greater weight than 10?,pets_1
SELECT weight FROM Pets WHERE pet_age = (SELECT MIN(pet_age) FROM Pets WHERE PetType = 'dog') AND PetType = 'dog' LIMIT 1,pets,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,Find the weight of the youngest dog.,pets_1
SELECT weight FROM Pets WHERE pet_age = (SELECT MIN(pet_age) FROM Pets WHERE PetType = 'dog') AND PetType = 'dog',pets,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,How much does the youngest dog weigh?,pets_1
"SELECT PetType, MAX(weight) as MaxWeight FROM Pets GROUP BY PetType",pets,"SELECT max(weight) ,  petType FROM pets GROUP BY petType",Find the maximum weight for each type of pet. List the maximum weight and pet type.,pets_1
"SELECT PetType, MAX(weight) as MaxWeight FROM Pets GROUP BY PetType",pets,"SELECT max(weight) ,  petType FROM pets GROUP BY petType",List the maximum weight and type for each type of pet.,pets_1
SELECT COUNT(*) FROM Has_Pet WHERE StuID IN ( SELECT StuID FROM Student WHERE Age > 20 ),"student, has_pet",SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,Find number of pets owned by students who are older than 20.,pets_1
SELECT COUNT(*) FROM Has_Pet WHERE StuID IN ( SELECT StuID FROM Student WHERE Age > 20 ),"student, has_pet",SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,How many pets are owned by students that have an age greater than 20?,pets_1
SELECT COUNT(*) FROM Pets WHERE PetType = 'dog' AND PetID IN ( SELECT PetID FROM Has_Pet WHERE StuID IN ( SELECT StuID FROM Student WHERE Sex = 'F' ) ),"student, has_pet, pets",SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',Find the number of dog pets that are raised by female students (with sex F).,pets_1
SELECT COUNT(*) FROM Has_Pet h JOIN Pets p ON h.PetID = p.PetID JOIN Student s ON h.StuID = s.StuID WHERE p.PetType = 'dog' AND s.Sex = 'F',"student, has_pet, pets",SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',How many dog pets are raised by female students?,pets_1
SELECT COUNT(DISTINCT PetType) FROM Pets,pets,SELECT count(DISTINCT pettype) FROM pets,Find the number of distinct type of pets.,pets_1
SELECT COUNT(DISTINCT PetType) FROM Pets,pets,SELECT count(DISTINCT pettype) FROM pets,How many different types of pet are there?,pets_1
"SELECT S.Fname FROM Student S, Has_Pet HP, Pets P WHERE S.StuID = HP.StuID AND HP.PetID = P.PetID AND (P.PetType = 'cat' OR P.PetType = 'dog')","student, has_pet, pets",SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',Find the first name of students who have cat or dog pet.,pets_1
"SELECT S.Fname FROM Student S, Has_Pet HP, Pets P WHERE S.StuID = HP.StuID AND HP.PetID = P.PetID AND (P.PetType = 'cat' OR P.PetType = 'dog')","student, has_pet, pets",SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',What are the first names of every student who has a cat or dog as a pet?,pets_1
SELECT S.Fname FROM Student S WHERE S.StuID IN ( SELECT HP.StuID FROM Has_Pet HP INNER JOIN Pets P ON HP.PetID = P.PetID WHERE P.PetType = 'cat' ) AND S.StuID IN ( SELECT HP.StuID FROM Has_Pet HP INNER JOIN Pets P ON HP.PetID = P.PetID WHERE P.PetType = 'dog' ),"student, has_pet, pets",select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',Find the first name of students who have both cat and dog pets .,pets_1
SELECT S.Fname FROM Student S WHERE S.StuID IN ( SELECT HP.StuID FROM Has_Pet HP INNER JOIN Pets P ON HP.PetID = P.PetID WHERE P.PetType = 'cat' ) AND S.StuID IN ( SELECT HP.StuID FROM Has_Pet HP INNER JOIN Pets P ON HP.PetID = P.PetID WHERE P.PetType = 'dog' ),"student, has_pet, pets",SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',What are the students' first names who have both cats and dogs as pets?,pets_1
"SELECT s.Major, s.Age FROM Student s WHERE s.StuID NOT IN ( SELECT h.StuID FROM Has_Pet h JOIN Pets p ON h.PetID = p.PetID WHERE p.PetType = 'cat' )","student, has_pet, pets","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",Find the major and age of students who do not have a cat pet.,pets_1
"SELECT s.Major, s.Age FROM Student s WHERE s.StuID NOT IN ( SELECT h.StuID FROM Has_Pet h JOIN Pets p ON h.PetID = p.PetID WHERE p.PetType = 'cat' )","student, has_pet, pets","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","What major is every student who does not own a cat as a pet, and also how old are they?",pets_1
SELECT StuID FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType = 'cat')),"student, has_pet, pets",SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',Find the id of students who do not have a cat pet.,pets_1
SELECT StuID FROM Student WHERE StuID NOT IN ( SELECT StuID FROM Has_Pet INNER JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = 'cat' ),"student, has_pet, pets",SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',What are the ids of the students who do not own cats as pets?,pets_1
"SELECT S.Fname, S.Age FROM Student S WHERE S.StuID IN ( SELECT HP.StuID FROM Has_Pet HP INNER JOIN Pets P ON HP.PetID = P.PetID WHERE P.PetType = 'dog' ) AND S.StuID NOT IN ( SELECT HP.StuID FROM Has_Pet HP INNER JOIN Pets P ON HP.PetID = P.PetID WHERE P.PetType = 'cat' )","student, has_pet, pets","SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",Find the first name and age of students who have a dog but do not have a cat as a pet.,pets_1
SELECT S.Fname FROM Student S WHERE S.StuID IN ( SELECT HP.StuID FROM Has_Pet HP INNER JOIN Pets P ON HP.PetID = P.PetID WHERE P.PetType = 'dog' ) AND S.StuID NOT IN ( SELECT HP.StuID FROM Has_Pet HP INNER JOIN Pets P ON HP.PetID = P.PetID WHERE P.PetType = 'cat' ),"student, has_pet, pets","SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",What is the first name of every student who has a dog but does not have a cat?,pets_1
"SELECT PetType, weight FROM Pets WHERE pet_age = (SELECT MIN(pet_age) FROM Pets)",pets,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",Find the type and weight of the youngest pet.,pets_1
"To answer this question, we need to select the PetType and weight of the youngest pet. We can do this by joining the `Has_Pet`, `Pets`, and `Student` tables, and then ordering by the age of the pet and selecting the first row. Here is the SQL query to get the information: ```sql SELECT P.PetType, P.weight FROM Has_Pet HP JOIN Pets P ON HP.PetID = P.PetID JOIN Student S ON HP.StuID = S.StuID ORDER BY P.pet_age ASC LIMIT 1",pets,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1","What type of pet is the youngest animal, and how much does it weigh?",pets_1
"SELECT PetID, weight FROM Pets WHERE pet_age > 1",pets,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1",Find the id and weight of all pets whose age is older than 1.,pets_1
"SELECT PetID, weight FROM Pets WHERE pet_age > 1",pets,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1",What is the id and weight of every pet who is older than 1?,pets_1
"SELECT PetType, AVG(pet_age) as AverageAge, MAX(pet_age) as MaximumAge FROM Pets GROUP BY PetType",pets,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",Find the average and maximum age for each type of pet.,pets_1
"SELECT PetType, AVG(pet_age) as AverageAge, MAX(pet_age) as MaximumAge FROM Pets GROUP BY PetType",pets,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",What is the average and maximum age for each pet type?,pets_1
"SELECT PetType, AVG(weight) as AverageWeight FROM Pets GROUP BY PetType",pets,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",Find the average weight for each pet type.,pets_1
"SELECT PetType, AVG(weight) as AverageWeight FROM Pets GROUP BY PetType",pets,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",What is the average weight for each type of pet?,pets_1
"SELECT S.Fname, S.Age FROM Student S, Has_Pet HP, Pets P WHERE S.StuID = HP.StuID AND HP.PetID = P.PetID","student, has_pet","SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",Find the first name and age of students who have a pet.,pets_1
"SELECT DISTINCT S.Fname, S.Age FROM Student S, Has_Pet HP WHERE S.StuID = HP.StuID","student, has_pet","SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",What are the different first names and ages of the students who do have pets?,pets_1
SELECT PetID FROM Has_Pet INNER JOIN Student ON Has_Pet.StuID = Student.StuID WHERE LName = 'Smith',"student, has_pet",SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',Find the id of the pet owned by student whose last name is ‘Smith’.,pets_1
SELECT PetID FROM Has_Pet WHERE StuID IN (SELECT StuID FROM Student WHERE LName = 'Smith'),"student, has_pet",SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',What is the id of the pet owned by the student whose last name is 'Smith'?,pets_1
"SELECT s.StuID, s.Fname, s.Lname, COUNT(hp.PetID) AS num_pets FROM Student s JOIN Has_Pet hp ON s.StuID = hp.StuID GROUP BY s.StuID, s.Fname, s.Lname","student, has_pet","SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",Find the number of pets for each student who has any pet and student id.,pets_1
"Based on the given SQL tables, the question is referring to the `Student`, `Has_Pet`, and `Pets` tables. To determine the number of pets each student has, we can use the following SQL query: ```sql SELECT s.StuID, COUNT(hp.PetID) AS num_pets FROM Student s JOIN Has_Pet hp ON s.StuID = hp.StuID GROUP BY s.StuID","student, has_pet","select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid","For students who have pets , how many pets does each student have ? list their ids instead of names .",pets_1
"SELECT S.Fname, S.Sex FROM Student S WHERE S.StuID IN ( SELECT HP.StuID FROM Has_Pet HP GROUP BY HP.StuID HAVING COUNT(HP.PetID) > 1 )","student, has_pet","SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",Find the first name and gender of student who have more than one pet.,pets_1
"SELECT S.Fname, S.Sex FROM Student S WHERE S.StuID IN ( SELECT HP.StuID FROM Has_Pet HP GROUP BY HP.StuID HAVING COUNT(HP.PetID) > 1 )","student, has_pet","SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",What is the first name and gender of the all the students who have more than one pet?,pets_1
"SELECT S.LName FROM Student S, Has_Pet HP, Pets P WHERE S.StuID = HP.StuID AND HP.PetID = P.PetID AND P.PetType = 'cat' AND P.pet_age = 3","student, has_pet, pets",SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',Find the last name of the student who has a cat that is age 3.,pets_1
